NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-06-19;2020-06-25;No;0.0;0.0;0.0000;0;109.6115;48;0.0000;0;0;0
ALT CAMP;01;2020-06-18;2020-06-24;No;0.0;0.0;0.0000;0;125.5965;55;0.0000;0;0;0
ALT CAMP;01;2020-06-18;2020-06-24;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-06-17;2020-06-23;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-06-17;2020-06-23;No;0.0;0.0;0.0000;0;139.2980;61;0.0000;0;0;0
ALT CAMP;01;2020-06-16;2020-06-22;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-06-16;2020-06-22;No;0.0;0.0;0.0000;0;157.5666;69;0.0000;0;0;0
ALT CAMP;01;2020-06-15;2020-06-21;Si;;;0.0000;0;2012.0724;10;0.0000;0;0;0
ALT CAMP;01;2020-06-15;2020-06-21;No;0.0;0.0;0.0000;0;164.4173;72;0.0000;0;0;0
ALT CAMP;01;2020-06-14;2020-06-20;No;0.0;0.0;0.0000;0;164.4173;72;0.0000;0;0;0
ALT CAMP;01;2020-06-14;2020-06-20;Si;;;0.0000;0;2012.0724;10;0.0000;0;0;0
ALT CAMP;01;2020-06-13;2020-06-19;No;0.0;0.0;0.0000;0;173.5516;76;0.0000;0;0;0
ALT CAMP;01;2020-06-13;2020-06-19;Si;;;0.0000;0;1810.8651;9;0.0000;0;0;0
ALT CAMP;01;2020-06-12;2020-06-18;Si;;;0.0000;0;2012.0724;10;0.0000;0;0;0
ALT CAMP;01;2020-06-12;2020-06-18;No;0.0;0.0;0.0000;0;171.2680;75;0.0000;0;0;0
ALT CAMP;01;2020-06-11;2020-06-17;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-06-11;2020-06-17;No;0.0;0.0;0.0000;0;173.5516;76;0.0000;0;0;0
ALT CAMP;01;2020-06-10;2020-06-16;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-06-10;2020-06-16;No;0.0;0.0;0.0000;0;223.7902;98;0.0000;0;0;0
ALT CAMP;01;2020-06-09;2020-06-15;No;0.0;0.0;0.0000;0;255.7603;112;0.0000;0;0;0
ALT CAMP;01;2020-06-09;2020-06-15;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-06-08;2020-06-14;No;0.0;0.0;0.0000;0;290.0139;127;0.0000;0;0;0
ALT CAMP;01;2020-06-08;2020-06-14;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-06-07;2020-06-13;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-06-07;2020-06-13;No;0.0;0.0;0.0000;0;315.1332;138;0.0000;0;0;0
ALT CAMP;01;2020-06-06;2020-06-12;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-06;2020-06-12;No;0.0;0.0;0.0000;0;333.4018;146;0.0000;0;0;0
ALT CAMP;01;2020-06-05;2020-06-11;Si;;;0.0000;0;3822.9376;19;0.0000;0;0;0
ALT CAMP;01;2020-06-05;2020-06-11;No;0.0;0.0;0.0000;0;406.4762;178;0.0000;0;0;1
ALT CAMP;01;2020-06-04;2020-06-10;No;0.0;0.0;0.0000;0;429.3119;188;0.0000;0;0;1
ALT CAMP;01;2020-06-04;2020-06-10;Si;;;0.0000;0;4426.5593;22;0.0000;0;0;0
ALT CAMP;01;2020-06-03;2020-06-09;Si;;;0.0000;0;4426.5593;22;0.0000;0;0;0
ALT CAMP;01;2020-06-03;2020-06-09;No;0.326225;0.142857;0.0000;0;411.0433;180;0.0000;0;0;1
ALT CAMP;01;2020-06-02;2020-06-08;Si;;;0.0000;0;4627.7665;23;0.0000;0;0;0
ALT CAMP;01;2020-06-02;2020-06-08;No;0.65245;0.285714;0.0000;0;411.0433;180;0.0000;0;0;1
ALT CAMP;01;2020-06-01;2020-06-07;Si;;;0.0000;0;5030.1810;25;0.0000;0;0;0
ALT CAMP;01;2020-06-01;2020-06-07;No;0.978675;0.428571;2.2835;1;461.2819;202;0.5000;0;0;1
ALT CAMP;01;2020-05-31;2020-06-06;Si;;;0.0000;0;5231.3883;26;0.0000;0;0;0
ALT CAMP;01;2020-05-31;2020-06-06;No;0.978675;0.428571;2.2835;1;461.2819;202;0.5025;0;0;1
ALT CAMP;01;2020-05-30;2020-06-05;No;0.978675;0.428571;2.2835;1;449.8641;197;0.5181;0;0;1
ALT CAMP;01;2020-05-30;2020-06-05;Si;;;0.0000;0;5231.3883;26;0.0000;0;0;0
ALT CAMP;01;2020-05-29;2020-06-04;Si;;;0.0000;0;2213.2796;11;0.0000;0;0;0
ALT CAMP;01;2020-05-29;2020-06-04;No;0.978675;0.428571;2.2835;1;481.8341;211;0.4878;0;0;0
ALT CAMP;01;2020-05-28;2020-06-03;Si;;;0.0000;0;2414.4869;12;0.0000;0;0;0
ALT CAMP;01;2020-05-28;2020-06-03;No;0.978675;0.428571;2.2835;1;513.8042;225;0.4566;0;0;0
ALT CAMP;01;2020-05-27;2020-06-02;Si;;;0.0000;0;3822.9376;19;0.0000;0;0;0
ALT CAMP;01;2020-05-27;2020-06-02;No;0.65245;0.285714;2.2835;1;682.7887;299;0.3413;0;0;0
ALT CAMP;01;2020-05-26;2020-06-01;No;0.326225;0.142857;2.2835;1;719.3258;315;0.3236;0;0;0
ALT CAMP;01;2020-05-26;2020-06-01;Si;;;0.0000;0;5030.1810;25;0.0000;0;0;0
ALT CAMP;01;2020-05-25;2020-05-31;No;0.0;0.0;0.0000;0;673.6544;295;0.0000;0;0;0
ALT CAMP;01;2020-05-25;2020-05-31;Si;;;0.0000;0;5432.5955;27;0.0000;0;0;0
ALT CAMP;01;2020-05-24;2020-05-30;Si;;;0.0000;0;5231.3883;26;0.0000;0;0;0
ALT CAMP;01;2020-05-24;2020-05-30;No;0.0;0.0;0.0000;0;675.9379;296;0.0000;1;0;0
ALT CAMP;01;2020-05-23;2020-05-29;Si;;;0.0000;0;5030.1810;25;0.0000;0;0;0
ALT CAMP;01;2020-05-23;2020-05-29;No;0.0;0.0;0.0000;0;669.0872;293;0.0000;1;0;0
ALT CAMP;01;2020-05-22;2020-05-28;Si;;;0.0000;0;5231.3883;26;0.0000;0;0;0
ALT CAMP;01;2020-05-22;2020-05-28;No;0.0;0.0;0.0000;0;662.2365;290;0.0000;1;0;0
ALT CAMP;01;2020-05-21;2020-05-27;No;0.0;0.0;0.0000;0;669.0872;293;0.0000;1;0;0
ALT CAMP;01;2020-05-21;2020-05-27;Si;;;0.0000;0;4627.7665;23;0.0000;0;0;0
ALT CAMP;01;2020-05-20;2020-05-26;No;0.0;0.0;0.0000;0;513.8042;225;0.0000;2;0;0
ALT CAMP;01;2020-05-20;2020-05-26;Si;;;0.0000;0;3621.7303;18;0.0000;0;0;0
ALT CAMP;01;2020-05-19;2020-05-25;Si;;;0.0000;0;2816.9014;14;0.0000;0;0;0
ALT CAMP;01;2020-05-19;2020-05-25;No;0.0;0.0;0.0000;0;509.2370;223;0.0000;2;0;0
ALT CAMP;01;2020-05-18;2020-05-24;Si;;;0.0000;0;2213.2796;11;0.0000;1;0;0
ALT CAMP;01;2020-05-18;2020-05-24;No;0.0;0.0;0.0000;0;493.2520;216;0.0000;2;0;0
ALT CAMP;01;2020-05-17;2020-05-23;Si;;;0.0000;0;2213.2796;11;0.0000;1;0;0
ALT CAMP;01;2020-05-17;2020-05-23;No;0.978675;0.142857;0.0000;0;477.2670;209;0.0000;1;0;0
ALT CAMP;01;2020-05-16;2020-05-22;No;2.93602;0.428571;0.0000;0;481.8341;211;0.0000;1;0;0
ALT CAMP;01;2020-05-16;2020-05-22;Si;;;0.0000;0;3018.1086;15;0.0000;1;0;0
ALT CAMP;01;2020-05-15;2020-05-21;Si;;;0.0000;0;2414.4869;12;0.0000;1;0;0
ALT CAMP;01;2020-05-15;2020-05-21;No;4.89337;0.714286;2.2835;1;456.7148;200;0.0000;1;0;0
ALT CAMP;01;2020-05-14;2020-05-20;Si;;;0.0000;0;3018.1086;15;0.0000;2;0;0
ALT CAMP;01;2020-05-14;2020-05-20;No;5.87205;0.857143;4.5671;2;431.5955;189;0.0000;1;0;0
ALT CAMP;01;2020-05-13;2020-05-19;Si;;;0.0000;0;8853.1187;44;0.0000;2;0;0
ALT CAMP;01;2020-05-13;2020-05-19;No;5.87205;0.857143;4.5671;2;408.7597;179;0.5882;0;0;0
ALT CAMP;01;2020-05-12;2020-05-18;Si;;;0.0000;0;8450.7042;42;0.0000;2;0;0
ALT CAMP;01;2020-05-12;2020-05-18;No;6.85072;1.0;4.5671;2;374.5061;164;0.6329;0;0;0
ALT CAMP;01;2020-05-11;2020-05-17;No;10.4392;1.14286;4.5671;2;365.3718;160;0.6452;0;0;0
ALT CAMP;01;2020-05-11;2020-05-17;Si;;;0.0000;0;9255.5331;46;0.0000;1;0;0
ALT CAMP;01;2020-05-10;2020-05-16;Si;;;0.0000;0;9255.5331;46;0.0000;1;0;0
ALT CAMP;01;2020-05-10;2020-05-16;No;10.4392;1.14286;6.8507;3;365.3718;160;0.6452;0;0;0
ALT CAMP;01;2020-05-09;2020-05-15;Si;;;0.0000;0;8450.7042;42;0.0000;1;0;0
